# GLM-5.3 resolved artifact manifest

Model: `zai-org/GLM-5.3`
Revision: `aca966e4e02791568aa6a4ced368624b3d897f42`

`object_id` is the basename of the resolved Hugging Face cache object. The
64-hex LFS object IDs are upstream SHA-256 identifiers; shorter IDs are Git
object identifiers. `bytes` is the resolved object's observed byte length.

filename	object_id	bytes
model-00104-of-00141.safetensors	7641a66c311d8df317d2deb9ac578f91e78eab2545e65bb3dea65e922ae91fc4	5364883208
model-00105-of-00141.safetensors	5d5b6fed5cb64804f02167a1d9a676fa982bfb4205ef6506aa3bc3260f68c3b1	5363207032
model-00106-of-00141.safetensors	b3843515722d4e2425757518b4ed8863c65ec121ec3e502981304be3fc9a218a	5363339104
model-00107-of-00141.safetensors	46f3230ecb54e8c4a8d2379fea7afe3caade04e3b981a4b24bf61af5af1a9c42	5361736696
model-00108-of-00141.safetensors	b7b62322bf4843444c2200d2a76b46fe5b03ab2c99671997fb041aec6b07d040	5366353504
model-00109-of-00141.safetensors	0a595c9d83a94f5cd93bf97943eab870ed33b0b18304d00d9e9de929e957d15a	5361736648
model-00110-of-00141.safetensors	d671cca9545e2cbd739b2a0afed3cfc39946e1022c8578bbd329ff81fec52f01	5366353552
model-00111-of-00141.safetensors	c4214b75400e7aadfc97dc9137c39759a18da132a928f664c9953a8ad31f71cc	5361736512
model-00112-of-00141.safetensors	aa9965212e74ead94a77c0828a5b5106d4a150093a3801eb2c7b70c376d2b6bf	5366353688
model-00113-of-00141.safetensors	1c7242a0eb57136f9c5aed5f32dba8803c4dfca1557b15e65cae524a34639613	5361736376
model-00114-of-00141.safetensors	69d98d0b412b99460bd555c5c81eddc784f25f8f5ab2335444c3ad70871b190b	5363339432
model-00115-of-00141.safetensors	df690e0bd353ce9a0fd2adecbad8a3944dc067b72eabe776b06157c00d7293e1	5361736240
model-00116-of-00141.safetensors	03904100c9a801e312a6bf6c69fece0f86899250c13f54f217e3131806a92f54	5366353976
model-00117-of-00141.safetensors	bd7d01dd269772e119b1167c08dfec49388d84235e8b6f35a7dffb843126f4d0	5366353488
model-00118-of-00141.safetensors	b008875bf308708d477121e7266d2d150f8eb222fa3708229cfea2f39788267d	5361736696
model-00119-of-00141.safetensors	d954e2505d2887e70c3f197ebcb0458b6337f05786234c71025389383a1ef763	5366353304
model-00120-of-00141.safetensors	c12905e3660391b562b1eebbf09f3f5b24fdd664803e5e252831c22a1ef342a2	5361735832
model-00121-of-00141.safetensors	0be5012d19d8ac63200f093bebd5cc6210c230c247538dc2add993de227125e6	5366353016
model-00122-of-00141.safetensors	5a73f6134a57c3f9e09f1d38cef3d8cccb1757a715d4982e90c43a2de9c067bc	5361736552
model-00123-of-00141.safetensors	61f76624bb2fa0a09adb47a7db1c9596893d24f341b0274afcfd43998c94a2c6	5363339256
model-00124-of-00141.safetensors	39c94c6de9f09e6952fe55ab5cbc83de2ecf73a39ea01057e0a9523ee9623344	5361736416
model-00125-of-00141.safetensors	ce597eead0b41d82065224e68bfb1fefd2c1ee2183c8908006eeaedd164b1c5a	5366353784
model-00126-of-00141.safetensors	dd05c147ad93bd6736099b8458391eeb0384a3685a05ba3aa9b21f7178a691de	5361736288
model-00127-of-00141.safetensors	ccd37d5090203a967ddb2fb9898eeade94f5e2f2258ef6105ab1e727bd900342	5366353920
model-00128-of-00141.safetensors	d1a5a126e029fc5cbd45db8eff8fc9f4d65f0a1913624d1f44392e67b2e588d0	5366353488
model-00129-of-00141.safetensors	9d8f5dbbbd1e88b837afb45d48a1818d42be33be17aa8a0191c66418114b1edd	5361736696
model-00130-of-00141.safetensors	eeab5728f01bc1de0614c2ddd0e183b132f6e34df6235d794cd7eceab911cb72	5363339104
model-00131-of-00141.safetensors	c1904484c3218f362aac59e59ea38ed6b5fac8ba354dbcce9c874130891fe9c2	5361736696
model-00132-of-00141.safetensors	54d258bddf2deb5ccfdb31317fc52389e4b11a68493bfd3c14a62556ca8647fd	5366353504
model-00133-of-00141.safetensors	a829a7a929363e25e2d8653382c0e9d01a68c97a620314870de28dcec8512c5f	5361736592
model-00134-of-00141.safetensors	e39b80363535c89ffd114b0c2028ea91633303914a62c30b9a18c94295e8c8c1	5366353608
model-00135-of-00141.safetensors	880037c72bff92ae39580c9d1f7c2da8197cd282ceae0d7c81dd18e5d5432f2b	5361736456
model-00136-of-00141.safetensors	26d141a174b744fafee75047ea7ded09f0bde9d61c5cd0e07de06c3660c48313	5366338752
model-00137-of-00141.safetensors	4558ee4c2692b4fe29fc57fa4fc9e2ee72ff20510809fa504e4513c88ca40587	5361736352
model-00138-of-00141.safetensors	f6c7894ac9e5b0aa3335949f109ae9c9134b6da3ecadace77025e8a6c6f3b8c4	5363351176
model-00139-of-00141.safetensors	996571ec96e0ec74222fbc587c0d9562d5e21a29842116a2e9bd8d89f26ade72	5361735376
model-00140-of-00141.safetensors	0aed808a4aa4d0540bd1e6b91add70665380b6f21d777ad8f5eb23c9dafcfc02	5366353160
model-00141-of-00141.safetensors	83b5ab7fb7f77d016ddf957562f92aa961761c2a23f84cccc55e16abb2cc1e0c	4724454592
model.safetensors.index.json	e0fe7f28c1f853d4824e4d796374e3dacf1fe470988773952c79b063768134bf	11359251
tokenizer.json	19e773648cb4e65de8660ea6365e10acca112d42a854923df93db4a6f333a82d	20217442
tokenizer_config.json	e375fa0a4e16660ce0e2026e39374d35dad4c079	761
